"Timestamp","Gender","Age","What University/College do you attend?","What is your year of studies?","What faculty are you in?","What is you Post Secondary academic goal?","How often do you use ChatGPT?","Do you think ChatGPT is academically beneficial?","In what circumstances should ChatGPT be used? (select all that apply)","With the controversy surrounding the use of ChatGPT, there is a lot of blame being thrown around. In your opinion, who/what is to blame for the ethical/moral issues?","How often do you think the use of ChatGPT in the academic/professional world is ethical?","In the long run, do you think the use of ChatGPT will be helpful or harmful to society?","Do you support the use of ChatGPT?","Do you have any further comments and/or concerns on the topic?"
"2023/03/07 7:31:41 p.m. AST","Male","Under 20","western","Year 1","Arts","Bachelor's degree","A few times a week","5","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Nobody is to blame","Always","5","Yes","Chat GPT has made my life easier"
"2023/03/07 7:32:04 p.m. AST","Male","Under 20","Toronto Metropolitan University ","Year 1","Science","Bachelor's degree","Never","4","As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","The University/Education System is to blame;Chat GPT itself is to blame","Sometimes","3","I don't care",""
"2023/03/07 7:32:44 p.m. AST","Male","Under 20","University of Guelph","Year 1","Engineering","Master's degree","A few times a week","5","As a research tool","Students are to blame","Rarely","4","Yes","No"
"2023/03/07 7:45:51 p.m. AST","Female","Under 20","Carleton U","Year 1","Other","Bachelor's degree","Daily","2","As a research tool;It shouldn't be used","Nobody is to blame","Rarely","3","Yes",""
"2023/03/07 7:49:59 p.m. AST","Female","Under 20","Western University","Year 1","Science","Doctorate","Rarely","4","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers)","Students are to blame;The University/Education System is to blame","Rarely","3","Yes",""
"2023/03/07 7:54:33 p.m. AST","Male","Under 20","TMU","Year 1","Science","Bachelor's degree","Rarely","3","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers)","Students are to blame;The University/Education System is to blame","Sometimes","3","I don't care",""
"2023/03/07 8:04:44 p.m. AST","Female","Under 20","","Year 1","Engineering","Bachelor's degree","Daily","5","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Nobody is to blame","Always","5","Yes",""
"2023/03/07 8:05:07 p.m. AST","Female","Under 20","Uottawa ","Year 1","Engineering","Bachelor's degree","A few times a week","3","For completing assignments/homework;For assistance on quizzes/tests;For completing tasks and responsibilities in the work place","Nobody is to blame","Sometimes","1","Yes",""
"2023/03/07 8:05:08 p.m. AST","Female","Under 20","University of Ottawa","Year 1","Engineering","Bachelor's degree","Rarely","4","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Nobody is to blame","Sometimes","3","I don't care",""
"2023/03/07 8:14:14 p.m. AST","Male","Under 20","OCAD","Year 1","Arts","Bachelor's degree","Rarely","2","As a research tool","The University/Education System is to blame","Sometimes","4","I don't care",""
"2023/03/07 8:21:13 p.m. AST","Male","Under 20","TMU","Year 1","Science","Bachelor's degree","Rarely","5","Editing work;For completing assignments/homework;As a research tool;For teaching and educating others (perhaps used by teachers)","Nobody is to blame","Sometimes","4","Yes",""
"2023/03/07 8:29:03 p.m. AST","Male","Under 20","waterloo","Year 1","Other","Bachelor's degree","Rarely","3","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place;It shouldn't be used","Nobody is to blame","Sometimes","5","Yes",""
"2023/03/07 8:29:54 p.m. AST","Male","Under 20","University Of Ottawa","Year 1","Engineering","Bachelor's degree","A few times a month","4","For completing assignments/homework;As a research tool","Nobody is to blame","Often","4","Yes","Technology evolves. I think it'll be similar to the industrial revolution where everyone fears machines at first, but eventually the two begin to co-exist. AI and ChatGPT will just become a daily part of life and society will move on. "
"2023/03/07 8:32:19 p.m. AST","Female","Under 20","Toronto Metropolitan ","Year 1","Science","Bachelor's degree","A few times a month","5","Editing work;For completing assignments/homework;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","The University/Education System is to blame","Sometimes","5","Yes",""
"2023/03/07 8:33:27 p.m. AST","Female","20-24","","Year 4","Science","Bachelor's degree","Never","4","For teaching and educating others (perhaps used by teachers)","Students are to blame","Rarely","2","No",""
"2023/03/07 8:40:39 p.m. AST","Male","Under 20","Tmu","Year 1","Business","Other","Rarely","2","For assistance on quizzes/tests;As a research tool","Teachers/Professors are to blame;The University/Education System is to blame","Rarely","2","No","No"
"2023/03/07 9:19:56 p.m. AST","Male","Under 20","McMaster","Year 1","Science","Bachelor's degree","Rarely","2","As a research tool;For teaching and educating others (perhaps used by teachers)","Students are to blame","Rarely","2","I don't care",""
"2023/03/07 9:25:57 p.m. AST","Female","Under 20","uOttawa","Year 1","Arts","Bachelor's degree","Never","2","As a research tool;For teaching and educating others (perhaps used by teachers)","The University/Education System is to blame;Chat GPT itself is to blame","Rarely","2","I don't care",""
"2023/03/07 9:43:30 p.m. AST","Female","Under 20","Toronto Metropolitan University ","Year 1","Business","Bachelor's degree","Never","1","Editing work;As a research tool","Nobody is to blame","Rarely","2","No",""
"2023/03/07 9:53:15 p.m. AST","Male","Under 20","TMU","Year 1","Science","Bachelor's degree","A few times a week","5","As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Nobody is to blame","Often","2","Yes",""
"2023/03/07 10:18:34 p.m. AST","Male","Under 20","University of Toronto Mississauga","Year 1","Science","Bachelor's degree","Rarely","4","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Students are to blame;Teachers/Professors are to blame;The University/Education System is to blame","Often","4","Yes","I would like to clarify my response to the first question. Not only is my sex male, but I am also a straight heterosexual male. This means that I like women. Hopefully this clears up any doubts with regards to the first question of the survey. 
Thank you,
Kind regards "
"2023/03/07 10:21:41 p.m. AST","Male","20-24","Western University ","Year 1","Science","Doctorate","Rarely","5","Editing work;As a research tool","The University/Education System is to blame","Rarely","5","Yes","nah, but remember ur boi Nadith when u ace this assignment "
"2023/03/07 10:46:27 p.m. AST","Female","Under 20","York university ","Year 1","Science","Master's degree","Daily","4","For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Nobody is to blame","Often","5","Yes",""
"2023/03/07 10:56:37 p.m. AST","Male","Under 20","uoft ","Year 1","Arts","Bachelor's degree","A few times a week","5","Editing work;For completing assignments/homework;As a research tool","Students are to blame;Nobody is to blame","Sometimes","2","I don't care",""
"2023/03/07 11:05:54 p.m. AST","Male","Under 20","tmu","Year 1","Engineering","Bachelor's degree","Never","3","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers)","Nobody is to blame","Sometimes","2","Yes",""
"2023/03/07 11:39:44 p.m. AST","Male","Under 20","TMU","Year 1","Science","Bachelor's degree","Rarely","2","As a research tool;It shouldn't be used","Nobody is to blame","Rarely","3","I don't care",""
"2023/03/07 11:40:40 p.m. AST","Female","Under 20","York","Year 1","Arts","Bachelor's degree","A few times a week","4","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","The University/Education System is to blame;Chat GPT itself is to blame","Never","2","Yes",""
"2023/03/07 11:47:02 p.m. AST","Male","Under 20","Wilfrid Laurier University ","Year 1","Science","Bachelor's degree","Daily","4","Editing work;For completing assignments/homework;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Students are to blame;The University/Education System is to blame","Often","3","Yes",""
"2023/03/07 11:48:19 p.m. AST","Male","Under 20","TMU","Year 1","Engineering","Bachelor's degree","A few times a month","3","Editing work;As a research tool","Nobody is to blame","Sometimes","5","Yes",""
"2023/03/08 1:35:12 a.m. AST","Female","Under 20","UoG","Year 1","Science","Bachelor's degree","Never","3","Editing work;As a research tool","The University/Education System is to blame","Rarely","3","I don't care",""
"2023/03/08 1:39:48 a.m. AST","Male","Under 20","Toronto Metropolitan University ","Year 1","Science","Bachelor's degree","Rarely","4","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers)","Students are to blame","Sometimes","4","Yes",""
"2023/03/08 2:03:23 a.m. AST","Female","Under 20","University of Guelph ","Year 1","Arts","Bachelor's degree","Rarely","4","As a research tool;For teaching and educating others (perhaps used by teachers)","Nobody is to blame","Sometimes","5","Yes","As long as it’s not being used to write entire essays or assignments, I think it’s a fantastic tool to help students understand specific concepts and terminology in an easy and minimal amount of time"
"2023/03/08 2:15:44 a.m. AST","Non-binary ","Under 20","Toronto Metropolitan University","Year 1","Other","Bachelor's degree","Never","2","As a research tool","Nobody is to blame","Never","3","No","ChatGPT is a remarkable and powerful tool, but it currently exists in a very grey area of the law. Academically, there's no question. It's no different than getting someone else to write your assignment. But beyond academics it's harder to say. From my understanding, ChatGPT analyzes preexisting written work and synthesizes a new piece of writing from what it's analyzed. This leaves the question of credit, since all component pieces were originally someone else's. With the way intellectual property is handled right now, that's theft.

Additionally, ChatGPT fills a niche that doesn't really need to be filled, at least as it currently exists. People want to be writers, and there are already not enough jobs for them. If ChatGPT got instigated into other bots to create a more effective and seamless human-computer interaction, that would be fantastic. However, as tool to fill in words rather than having to write them yourself, it's immoral and often unhelpful."
"2023/03/08 3:30:19 a.m. AST","Female","20-24","TMU","Year 2","Science","Bachelor's degree","Rarely","3","As a research tool;For teaching and educating others (perhaps used by teachers)","Nobody is to blame","Rarely","3","I don't care",""
"2023/03/08 3:50:16 a.m. AST","Male","Under 20","University of Western Ontario","Year 1","Business","Bachelor's degree","Daily","5","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Nobody is to blame","Sometimes","4","Yes","no"
"2023/03/08 9:46:50 a.m. AST","Male","Under 20","UOIT","Year 1","Science","Bachelor's degree","Rarely","3","Editing work;For assistance on quizzes/tests;As a research tool","Nobody is to blame","Sometimes","3","I don't care",""
"2023/03/08 12:00:19 p.m. AST","Male","Under 20","York university ","Year 1","Business","Master's degree","Never","4","Editing work;As a research tool","Nobody is to blame","Sometimes","4","Yes","Nah"
"2023/03/08 7:35:20 p.m. AST","Male","Under 20","TMU","Year 1","Science","Bachelor's degree","A few times a week","4","For completing assignments/homework;For assistance on quizzes/tests;As a research tool","Chat GPT itself is to blame","Often","5","No",""
"2023/03/08 7:37:11 p.m. AST","Male","Under 20","TMU","Year 1","Science","Bachelor's degree","A few times a month","3","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Students are to blame;The University/Education System is to blame","Sometimes","4","Yes",""
"2023/03/09 3:25:56 p.m. AST","Male","Under 20","TMU","Year 1","Science","Bachelor's degree","A few times a month","4","As a research tool","The University/Education System is to blame","Sometimes","4","I don't care",""
"2023/03/09 3:27:19 p.m. AST","Female","20-24","University of Toronto Scarborough ","Year 1","Other","Bachelor's degree","Never","3","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers)","Chat GPT itself is to blame","Sometimes","3","I don't care","N/A"
"2023/03/09 3:35:12 p.m. AST","Male","20-24","York U","Year 2","Business","Other","Never","2","For assistance on quizzes/tests","The University/Education System is to blame","Rarely","2","I don't care","N/A"
"2023/03/09 3:36:22 p.m. AST","Male","Under 20","York University","Year 1","Science","Bachelor's degree","A few times a month","4","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","The University/Education System is to blame","Often","4","Yes","Nothing else."
"2023/03/09 3:36:33 p.m. AST","Female","20-24","York University","Year 3","Science","Master's degree","Never","4","For completing assignments/homework;As a research tool;For teaching and educating others (perhaps used by teachers)","The University/Education System is to blame","Often","4","Yes",""
"2023/03/09 3:41:53 p.m. AST","Male","Under 20","York","Year 1","Law","Bachelor's degree","Never","5","It shouldn't be used","Nobody is to blame","Always","1","I don't care",""
"2023/03/09 3:44:54 p.m. AST","Male","Under 20","University of Waterloo","Year 1","Engineering","Master's degree","A few times a week","4","As a research tool;For teaching and educating others (perhaps used by teachers)","The University/Education System is to blame","Sometimes","4","Yes",""
"2023/03/09 3:45:36 p.m. AST","Male","20-24","University of Toronto ","Year 4","Business","Bachelor's degree","Never","1","It shouldn't be used","Chat GPT itself is to blame","Rarely","3","No",""
"2023/03/09 4:13:29 p.m. AST","Female","Under 20","Toronto Metropolitan University ","Year 1","Science","Bachelor's degree","Rarely","3","For completing assignments/homework;For teaching and educating others (perhaps used by teachers)","Nobody is to blame","Sometimes","3","I don't care",""
"2023/03/09 7:40:31 p.m. AST","Female","20-24","University of Waterloo ","Year 3","Science","Bachelor's degree","Never","4","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers)","Chat GPT itself is to blame","Sometimes","3","Yes","-"
"2023/03/09 7:50:44 p.m. AST","Female","20-24","University of Waterloo","Year 4","Other","Bachelor's degree","Rarely","5","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","The University/Education System is to blame","Often","5","Yes",""
"2023/03/09 8:45:08 p.m. AST","Male","Under 20","TMU","Year 1","Science","Bachelor's degree","Rarely","3","Editing work;For teaching and educating others (perhaps used by teachers)","Nobody is to blame","Rarely","3","I don't care","No"
"2023/03/10 12:04:25 a.m. AST","your mom","Under 20","York University","Year 1","Law","Bachelor's degree","Never","1","For completing assignments/homework;As a research tool;It shouldn't be used","Nobody is to blame","Sometimes","3","I don't care","I can beat your ass at surviv"
"2023/03/12 4:13:47 p.m. AST","Female","Under 20","tmu","Year 1","Science","Doctorate","Daily","4","Editing work;For completing assignments/homework;As a research tool","Nobody is to blame","Sometimes","4","Yes",""
"2023/03/12 4:26:53 p.m. AST","Male","Under 20","TMU","Year 1","Science","Bachelor's degree","Rarely","3","As a research tool;It shouldn't be used","Students are to blame","Sometimes","3","I don't care","It should only be used for reasearch and learning purposes."
"2023/03/12 6:39:15 p.m. AST","Male","20-24","","Year 1","Science","Bachelor's degree","Daily","4","For teaching and educating others (perhaps used by teachers)","Nobody is to blame","Often","5","Yes",""
"2023/03/14 10:51:09 a.m. AST","Female","20-24","University of Waterloo","Year 4","Other","Other","Never","2","Editing work;As a research tool","Chat GPT itself is to blame","Rarely","1","No",""
"2023/03/15 1:47:53 p.m. AST","Female","Under 20","Sheridan ","Year 1","Other","Other","Never","3","Editing work;As a research tool","The University/Education System is to blame","Sometimes","2","I don't care","No"
"2023/03/15 7:38:53 p.m. AST","Male","Under 20","Royal Military College","Year 1","Science","Master's degree","A few times a month","4","Editing work;For completing assignments/homework;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","The University/Education System is to blame","Sometimes","3","Yes",""
"2023/03/16 3:18:50 p.m. AST","Male","Under 20","Humber","Year 1","Arts","Other","Never","1","It shouldn't be used","Students are to blame","Never","1","No","To me it’s common sense its cheating and the user is at fault, theres no benefit to cheating as the user learns nothing. If we were to let students who know virtually nothing about the work in their field, their work will be flawed and wrong and no good work will be done. Id a doctor were to cheat on all their assignments then graduate and be hired as a doctor, they would no nothing about treating a patient and put peoples lives at risk."
"2023/03/18 9:29:23 p.m. AST","Female","Under 20","TMU","Year 1","Science","Bachelor's degree","Never","5","As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Students are to blame","Often","5","Yes",""
"2023/03/19 10:35:56 a.m. AST","Prefer not to say","20-24","Toronto Metropolitan University","Year 1","Science","Bachelor's degree","Never","4","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Nobody is to blame","Sometimes","5","I don't care",""
"2023/03/24 2:10:32 p.m. AST","Male","Under 20","Toronto Metropolitan University","Year 1","Science","Master's degree","Never","1","It shouldn't be used","Students are to blame;Chat GPT itself is to blame","Rarely","1","No",""
"2023/03/24 6:17:50 p.m. AST","Female","Under 20","TMU","Year 1","Science","Master's degree","A few times a week","5","Editing work;For completing assignments/homework;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Nobody is to blame","Sometimes","3","Yes","Brussel Sprout "
"2023/03/27 6:54:06 p.m. AST","Female","Under 20","Toronto Metropolitan University","Year 1","Business","Bachelor's degree","Rarely","3","As a research tool","The University/Education System is to blame","Sometimes","3","Yes",""
"2023/03/27 6:55:04 p.m. AST","Female","Under 20","tmu","Year 1","Science","Bachelor's degree","A few times a month","3","As a research tool;For teaching and educating others (perhaps used by teachers);It shouldn't be used","Nobody is to blame","Rarely","3","I don't care","no"
"2023/03/27 7:02:10 p.m. AST","Male","Under 20","Toronto Metropolitan University ","Year 1","Science","Bachelor's degree","A few times a week","4","As a research tool","The University/Education System is to blame","Often","3","Yes",""
"2023/03/27 7:04:17 p.m. AST","Female","Under 20","TMU","Year 1","Arts","Other","Rarely","3","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers)","Chat GPT itself is to blame","Sometimes","3","Yes","I think it should be used In an educational way. "
"2023/03/27 7:05:34 p.m. AST","Male","Under 20","Brock","Year 1","Business","Bachelor's degree","A few times a week","3","For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For completing tasks and responsibilities in the work place","The University/Education System is to blame","Sometimes","4","Yes",""
"2023/03/27 7:10:41 p.m. AST","Male","Under 20","Toronto Metropolitan University","Year 1","Engineering","Bachelor's degree","Daily","5","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","The University/Education System is to blame","Often","5","Yes","n/a"
"2023/03/27 7:11:49 p.m. AST","Male","Under 20","Toronto Metropolitan University ","Year 1","Engineering","Bachelor's degree","Daily","5","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","The University/Education System is to blame","Often","5","Yes","no"
"2023/03/27 7:18:29 p.m. AST","Female","Under 20","university of waterloo","Year 1","Science","Bachelor's degree","Never","4","For completing assignments/homework;For assistance on quizzes/tests;As a research tool","Nobody is to blame","Often","4","Yes","No concerns regarding ChatGPT"
"2023/03/27 7:45:17 p.m. AST","Female","Under 20","Toronto Metropolitan University","Year 1","Business","Master's degree","A few times a month","5","As a research tool;It shouldn't be used","The University/Education System is to blame","Sometimes","4","Yes",""
"2023/03/27 9:55:08 p.m. AST","Male","Under 20","Toronto Metropolitan University ","Year 1","Science","Other","Never","2","As a research tool;For completing tasks and responsibilities in the work place","Students are to blame","Sometimes","4","Yes",""
"2023/03/27 10:04:42 p.m. AST","Female","Under 20","TMU","Year 2","Science","Bachelor's degree","A few times a week","5","For teaching and educating others (perhaps used by teachers)","Nobody is to blame","Often","3","Yes",""
"2023/03/27 10:37:51 p.m. AST","Male","Under 20","","Year 1","Science","Bachelor's degree","Rarely","3","Editing work;For assistance on quizzes/tests;For teaching and educating others (perhaps used by teachers)","Students are to blame;Teachers/Professors are to blame;The University/Education System is to blame","Sometimes","3","I don't care",""
"2023/03/27 10:46:52 p.m. AST","Male","Under 20","Waterloo ","Year 2","Business","Bachelor's degree","Never","4","Editing work;For completing assignments/homework;For assistance on quizzes/tests;As a research tool","Nobody is to blame","Sometimes","4","Yes",""
"2023/03/27 11:11:36 p.m. AST","Male","Under 20","TMU","Year 1","Engineering","Master's degree","A few times a week","5","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers);For completing tasks and responsibilities in the work place","Teachers/Professors are to blame;The University/Education System is to blame","Often","5","Yes",""
"2023/03/28 3:50:24 p.m. AST","Female","Under 20","UofT","Year 1","Other","Master's degree","A few times a week","2","Editing work;As a research tool","Nobody is to blame","Sometimes","3","I don't care",""
"2023/03/28 11:15:23 p.m. AST","Female","Under 20","Toronto Metropolitan University  ","Year 1","Science","Bachelor's degree","A few times a week","4","Editing work;As a research tool;For teaching and educating others (perhaps used by teachers)","Students are to blame;The University/Education System is to blame","Sometimes","4","Yes",""
